_a,_b,0_a,0_b,1_a,1_b,2_a,2_b,3_a,3_b,4_a,4_b
,,0.782433405,1.732050808,0.905411163,1,0.785961599,1.414213562,0.25390625,16.15549442,0.548895899,6.08276253
,,0.6796585,2,0.892944389,1.414213562,0.853702372,1,0.246753247,13.13388404,0.364081633,9.539392014
,,0.541641521,3.31662479,0.834993165,1.732050808,0.611770404,4.123105626,0,26.70205985,0.106716886,17.09067684
,,0.772373837,1.414213562,0.857860845,2,0.777933715,2,0.22953451,8.83422202,0.474226804,13.13388404
,,0.74436351,2.236067977,0.888532478,1.414213562,0.91867233,1,0.018421053,24.77902339,0.516688919,17.93738705
,,0.704094155,2.139791428,0.875948408,1.512095586,0.789608084,1.907463838,0.149723012,17.92093674,0.402122028,12.75682049
