_a,_b,0_a,0_b,1_a,1_b
,,0.8597742470824306,11.0,0.6457802918922796,12.68857754044952
,,0.8531852229510263,16.61324772583615,0.5912303091487456,16.881943016134134
,,0.8872740827094766,11.874342087037917,0.6545960334780211,13.152946437965905
,,0.9121229121509626,13.038404810405298,0.19263456090651557,64.7776967204329
,,0.8694729894628591,14.177446878757825,0.05188679245283019,49.82067824578379
,,0.8900743643728196,10.816653826391969,0.5352784079487695,22.063533424778953
,,0.8715415245991447,16.55294535724685,0.0,500.0
,,0.8358526933317728,27.65863337187866,0.0,500.0
,,0.8629366316086858,10.770329614269007,0.013307220172416808,43.426374279862095
,,0.8400035836700249,7.483314773547883,0.5314403151224525,10.816653826391969
,,0.8335007650340788,9.695359714832659,0.41656746031746034,10.816653826391969
,,0.9026747533330095,12.206555615733702,0.0,500.0
,,0.9302325055540167,12.806248474865697,0.5430026970332634,97.205966895042
,,0.8448306284935703,13.638181696985855,0.051496620534277435,73.98716102061246
,,0.8751021108741327,12.041594578792296,0.0,170.57828114854445
,,0.8448248572018443,9.643650760992955,0.1924492585971185,31.0322412983658
,,0.7896723151761372,10.44030650891055,0.6073430648831659,10.0
,,0.9222681995393405,9.38083151964686,0.7062931107894065,17.74823934929885
,,0.8933794263500913,11.489125293076057,0.535,58.16842540351497
,,0.8212104399673305,17.804493814764857,0.0450849963045085,63.99413740569388
,,0.9570393886859875,7.0710678118654755,0.05784204671857619,331.45165516420855
,,0.8520714337779721,11.704699910719626,0.6663011194882339,15.937377450509228
,,0.7207729010939754,12.727922061357855,0.7527706705351609,14.730919862656235
,,0.9372045368340226,8.366600265340756,0.6644614977507277,32.77193921634788
,,0.8381634256177781,11.532562594670797,0.07599253891436114,22.15851980616034
,,0.8131817771064895,12.328828005937952,0.01464942036008499,31.492854890952962
,,0.9447129808388628,6.4031242374328485,0.0,500.0
,,0.9107950872656755,31.827660925679098,0.0,500.0
,,0.8847147010912738,15.297058540778355,0.1417490494296578,105.65460978961042
,,0.7608495260363286,6.164414002968976,0.5840248152338523,7.810249675906654
,,0.9121229088400553,6.6332495807108,0.3539568345323741,14.773279441912235
