_a,_b,0_a,0_b,1_a,1_b
,,0.8206100278627141,367.0490430446591,0.6914632838726174,28.53068523537421
,,0.8268448204994854,335.61942732327606,0.18844282154672165,324.6243983436858
,,0.8050423319177703,432.6585258585306,0.1398655351041552,386.45471916127707
,,0.7721853984404311,425.6995419303829,0.07976723580545511,114.39340014862788
,,0.6318079388760229,117.52871989433051,0.0012250819407877062,72.84229540589725
,,0.7892845292771947,314.68547789798,0.0,500.0
,,0.6636116296298693,172.75227928480192,0.0,500.0
,,0.7969991047539874,130.538117029673,0.023566654941962716,177.73561826382488
,,0.4778041938540872,192.52272593125207,0.3136299609244652,34.88552708502482
,,0.762985024453149,195.60572585349095,0.2102100147531025,47.80167361086848
,,0.8308514290071428,273.81353143987394,0.3205253226276263,52.598477828913275
,,0.7284153036796349,261.5224655741835,0.26198898231371415,100.33145067245682
,,0.7855183187315308,245.57279979672015,0.009351198871650212,322.84051790319006
,,0.7431451630159048,318.8818746800148,0.19104261145324863,348.82660448996717
,,0.8389579264189996,134.63042002780105,1.0,0.0
,,0.7948716342462943,303.8470009725289,0.0,500.0
,,0.7638334173023471,282.85049053431067,1.948930706986795e-05,379.9604584689277
,,0.7003980815477882,217.3131381210073,0.5116918774172831,212.45728982433508
,,0.6135901669505137,209.21997992543638,0.1312227605583947,62.00806399170998
,,0.7154150118280521,256.5053605677667,0.0,500.0
,,0.7792802758480402,138.91292232028943,0.0,167.22739010102381
,,0.7916668191983152,225.7432169523594,0.0,54.59853477887479
,,0.700177237275251,155.1031914565268,0.1291271523840221,165.45996494620684
,,0.7371119506368138,232.88409134159423,0.32456276733834954,17.10116336572986
,,0.7646380374441052,118.63810517704673,0.25880500393666345,180.21556536062246
,,0.8410565905317121,153.32547080562568,0.0,143.85826296776838
,,0.8139030314583026,224.26323818227542,0.07340924313462827,412.85929805311633
,,0.7792592809415996,403.1846971300642,0.0,490.05790469707154
,,0.8240083014142071,390.43693472826055,0.3481234595937669,55.937465083787984
,,0.8639530564305705,77.88452991448301,0.6370745053842468,23.259406699226016
,,0.5530876215833962,340.7716977677433,0.00419336659967261,97.85703858180054
