_a,_b,0_a,0_b,1_a,1_b,2_a,2_b,3_a,3_b,4_a,4_b,5_a,5_b,6_a,6_b,7_a,7_b,8_a,8_b,9_a,9_b,10_a,10_b,11_a,11_b,12_a,12_b,13_a,13_b,14_a,14_b
,,0.8110964332892999,9.695359714832659,0.8832379394930499,10.295630140987,0.9456179775280898,1.4142135623730951,0.564673157162726,2.8284271247461903,0.5985815602836879,2.23606797749979,0.9556111222244449,1.5095647359315985,0.6653713778172532,5.0,0.9030250217851363,1.0,0.8183929400836043,2.0,0.6308897162665297,3.605551275463989,0.3597122302158273,4.1350591317678225,0.5472636815920398,3.348076211353316,0.4312039312039312,5.196152422706632,0,0,0,0
,,0.9595428571428571,1.0,0.9664724031539252,1.0,0.960945323452834,1.0,0.8375992939099736,1.4142135623730951,0.7332028701891715,2.0,0.9786349100468894,1.0,0.8311336234572305,6.6332495807108,0.9167088351381439,1.0,0.8574078367725481,1.4142135623730951,0.8628115170578272,1.4142135623730951,0.6457399103139013,3.605551275463989,0.5670886075949367,2.449489742783178,0.5853548966756514,7.874007874011811,0,0,0,0
,,0.8172942817294282,4.58257569495584,0.9448051948051948,1.0,0.8137426435501829,2.449489742783178,0.4741100323624595,3.0,0.6214285714285714,1.7856406460550986,0.9427214576468308,1.4142135623730951,0.6717635815628905,7.280109889280518,0.920568122041031,1.0,0.6367163569532367,3.605551275463989,0.8066604995374653,1.0,0.42857142857142855,4.045472473094607,0.4567901234567901,2.888477631085023,0.46346555323590816,4.123105625617661,0,0,0,0
,,0.9760407518004567,1.0,0.9453885257806827,1.0,0.9571395828558331,1.0,0.17448559670781894,19.79898987322333,0.5540983606557377,2.23606797749979,0.960122654595897,1.4142135623730951,0.7907266705630236,5.0990195135927845,0.8724132797379782,2.385463213198123,0.8835952357121409,1.4142135623730951,0.724649140146274,3.4641016151377544,0.5135135135135135,5.570793550071889,0.3902439024390244,6.0,0.5923431407302375,4.47213595499958,0,0,0,0
,,0.8685175484546883,12.36931687685298,0.9432013769363167,1.0,0.9635333430190324,1.0,0.8452655889145496,1.0,0.7657992565055762,1.4142135623730951,0.9647555289275573,1.0,0.9117487163998792,1.0,0.9615897968263384,1.0,0.8415937803692906,2.8284271247461903,0.7559055118110236,2.449489742783178,0.5286624203821656,3.0,0.7019230769230769,1.4142135623730951,0.6463178294573644,3.0,0,0,0,0
,,0.952482715273413,1.0,0.9626138360760504,1.0,0.9507159243730717,1.0,0.9319526627218935,1.0,0.7231638418079096,2.0,0.9587763343637761,1.0,0.7918726962150499,1.7320508075688772,0.9484200743494424,1.0,0.9000812347684809,1.0,0.8782081194587028,1.0,0.4678362573099415,11.133097282889858,0.4452054794520548,2.8284271247461903,0.7163426925845933,2.23606797749979,0,0,0,0
,,0.9065606361829026,1.4142135623730951,0.958092232158513,1.0,0.945712672420747,1.0,1,0,0.6932989690721649,1.4142135623730951,0.9622817822707387,1.0,0.8118538938662991,2.0,0.9313354190680059,1.0,0.7770210245780278,1.7320508075688772,0.6416256157635468,5.513151309939772,0.23376623376623376,7.418947050771958,0.649746192893401,2.0,0.7414741474147415,3.0,0,0,0,0
,,0.9548263906336365,1.0,0.9196335382117592,2.0,0.9289089994972348,6.082762530298219,0.8420300214438885,1.4142135623730951,0.6633906633906634,1.4142135623730951,0.932187287943904,2.0,0.6573369342826745,4.123105625617661,0.8621089223638471,1.7002670830492557,0.7670472076519592,2.23606797749979,0.8368869936034116,1.4142135623730951,0.632183908045977,1.6208077717503553,0.6338797814207651,2.0,0.4489495023958717,9.273618495495704,0,0,0,0
,,0.97301838307966,1.0,0.9662432451400098,1.0,0.9615897249485036,1.0,0.8520986009327115,1.0,0.6599597585513078,6.0,0.9763322749506564,1.0,0.9000641563440754,1.0,0.8324493731918997,5.477225575051661,0.8160291438979964,2.449489742783178,0.90512767282541,1.0,0.48156182212581344,5.385164807134504,0.8120805369127517,1.0,0.7296077750780979,2.23606797749979,0,0,0,0
,,0.9524718774646134,1.0,0.9514018691588785,1.0,0.9513387019065318,1.0,0.25045153521974717,17.201739417355107,0.7803617571059431,1.4142135623730951,0.9429848028962747,2.449489742783178,0.6132729794845586,10.344080432788601,0.9420439844760673,1.0,0.772368778895839,2.8284271247461903,0.5890863993385697,2.8284271247461903,0.6095890410958904,3.1622776601683795,0.5942028985507246,2.0,0.5505142165759226,5.421989114301375,0,0,0,0
,,0.9352998300558388,5.744562646538029,0.966357168696491,1.0,0.963873243443136,1.0,0.8928687723868447,1.4142135623730951,0.793168880455408,1.0,0.9727183407582874,1.0,0.9117593325619633,1.0,0.9546380299944455,1.0,0.8033416121020547,5.916079783099616,0.8682944876063633,1.4142135623730951,0.56,3.875164270369241,0.6624605678233438,3.3166247903554,0.6600741656365884,2.23606797749979,0,0,0,0
,,0.9318536292741452,2.449489742783178,0.9649430894308944,1.0,0.9639001126051533,1.0,0.2531089978054133,14.293163684895742,0.6532663316582915,2.449489742783178,0.9440933510484663,1.4142135623730951,0.5585244738708914,6.0,0.8448930296756384,3.0,0.9018371264052646,2.0,0.6053451385473029,5.196152422706632,0.24113475177304963,4.47213595499958,0.43386243386243384,7.564708966036934,0.34096007178106774,7.144912134662103,1,0,0,0
,,0.9577204181700435,1.0,0.9515675918642544,1.0,0.9432578486875965,1.0,0.8147197261446298,6.4031242374328485,0.6910356832027851,2.23606797749979,0.9581125559015837,1.0,0.8472169392671485,1.0,0.9231880568263906,1.0,0.831053746869582,2.23606797749979,0.8436434486117876,1.4142135623730951,0.5151515151515151,3.0,0.512,2.23606797749979,0.7305472177326252,3.0,0,0,0,0
,,0.9129205030992357,2.0,0.9213442103981493,1.7320508075688772,0.9421965317919075,1.0,0.13681159420289854,9.1104335791443,0.11992263056092843,7.120320243539637,0.8647212738121829,6.48074069840786,0.6997186620819006,4.123105625617661,0.926112510495382,1.0,0.7252836304700162,5.0,0.4193029490616622,7.14142842854285,0.4367816091954023,4.045472473094592,0.08771929824561403,11.291394425961187,0.5156537753222836,3.605551275463989,0,0,0,0
,,0.9414443341701209,2.23606797749979,0.9284983874773853,2.0,0.950769898069833,1.0,0.6624693948933194,3.3166247903554,0.7258193445243805,1.4142135623730951,0.9544374386109439,2.0,0.8582683130065905,1.4142135623730951,0.9054936019322678,1.4142135623730951,0.7854001759014951,2.8284271247461903,0.7805397727272727,1.4142135623730951,0.5,2.23606797749979,0.6285714285714286,3.3166247903554,0.6600583090379009,3.1622776601683795,0,0,0,0
,,0.9229275273433507,1.0,0.9570338901226224,1.0,0.9564032697547684,1.0,0.5602996254681648,3.7416573867739413,0.7582417582417582,1.4142135623730951,0.9532812654040377,1.0,0.7934914595644783,2.8284271247461903,0.9358600583090378,1.0,0.9036273115220483,2.0,0.7725321888412017,1.4142135623730951,0.4791666666666667,1.509564735931829,0.48175182481751827,4.597512666718213,0.4534625479507369,9.685017924064704,0,0,0,0
,,0.9594717668488161,1.0,0.9577866514546491,1.0,0.9596766432489654,1.0,0.6845168800931315,8.54400374531753,0.8157560355781448,1.0,0.9650780537340149,1.0,0.8894134102631349,1.4142135623730951,0.890106801573918,21.411442386000825,0.9071661237785016,1.4142135623730951,0.8537062095925425,1.0,0.48366013071895425,3.1622776601683795,0.5816993464052288,5.196152422706632,0.7950721153846154,2.0,0,0,0,0
,,0.9150372277503305,2.0,0.9494629336150731,1.0,0.9352694191742478,2.0,0.4182776801405975,2.8284271247461903,0.5834542815674891,2.449489742783178,0.9345731777752108,2.23606797749979,0.45023565289714446,9.894431223130091,0.778570388702868,5.830951894845301,0.8982976865997381,1.0,0.25950570342205326,15.033296378372908,0.23076923076923078,8.07152484674916,0.5679012345679012,3.605551275463989,0.10030211480362537,7.280109889280518,0,0,0,0
