_a,_b,0_a,0_b,1_a,1_b,2_a,2_b
,,0.9721156836322172,1.0,0.9226479396881132,1.0,0.9786145128861269,1.0
,,0.9602815485168427,1.0,0.9152487441257495,1.0,0.9750385208012327,1.0
,,0.8955606877084937,1.0,0.9222527472527473,1.0,0.969310538116592,1.0
,,0.8794430194210333,1.4142135623730951,0.9036600757257046,1.0,0.9641534391534392,1.0
,,0.9612418048592364,1.0,0.8689492325855962,1.0,0.920472638900528,1.0
,,0.974352847471127,1.0,0.8916847980323527,1.0,0.9770638261317757,1.0
,,0.9333527569378688,1.0,0.8772811425548797,1.0,0.9710999705101739,1.0
,,0.965376,1.0,0.9124830876593321,1.0,0.9698795180722891,1.0
,,0.9702061798684428,1.0,0.9141897131041613,1.0,0.9826340863685262,1.0
,,0.8877535222170615,1.0,0.8527198451945818,1.0,0.9466879040569661,1.0
,,0.824384152571234,1.0,0.8993073154249028,1.0,0.9477695583949787,1.0
,,0.9658663726129016,1.0,0.8825781748564135,1.0,0.9572241281973336,1.0
,,0.9676656151419558,1.0,0.9011008212475974,1.0,0.979608860876819,1.0
,,0.8074367407208537,1.0,0.9198686463274299,1.0,0.9538969145710718,1.0
,,0.9707413835854203,1.0,0.9147653895824365,1.0,0.977039520471401,1.0
,,0.9492560091568104,1.0,0.9165704131497112,1.0,0.9696508580606983,1.0
,,0.9370349170005724,1.0,0.9094713206776893,1.0,0.9814774460666812,1.0
,,0.9586788676008007,1.0,0.9047899654853102,1.0,0.9673135099240021,1.0
,,0.9560068206479616,1.0,0.880948169113745,1.0,0.9661980566466818,1.0
,,0.9434856175972928,1.0,0.9072934154075732,1.0,0.9683108689417838,1.0
,,0.9740950618711692,1.0,0.914513433603291,1.0,0.9792294807370184,1.0
,,0.9684014869888475,1.0,0.8957432497357548,1.0,0.9720301896365827,1.0
,,0.9588437472459681,1.0,0.8486149881898217,1.0,0.8930624760444614,1.0
,,0.9600441429452433,1.0,0.9212313918196271,1.0,0.9618284912608873,1.0
,,0.9688945420906568,1.0,0.8890282131661442,1.0,0.9651588065447546,1.0
,,0.9110744640365344,1.7320508075688772,0.8700655266101965,1.0,0.9250563486100676,3.7545745174351737
,,0.9069150791989393,4.0,0.8613301336990058,1.0,0.9686739659367397,1.0
,,0.9650214295589659,1.0,0.8965660770031217,1.0,0.9665103375388071,1.0
,,0.9469033879117541,1.0,0.88360814742968,1.0,0.9711312010939755,1.0
,,0.9733221476510067,1.0,0.9148679447647138,1.0,0.9761108688278335,1.0
,,0.9636293535535279,1.0,0.8996523004770761,1.0,0.9816934584073722,1.0
,,0.9706142403911167,1.0,0.9059621909840039,1.0,0.9740305193896122,1.0
,,0.9251031803835883,1.0,0.8558902020587114,1.0,0.9639201637666326,1.0
,,0.9396352809825084,1.0,0.8914888357913817,1.0,0.9086424264571533,1.0
,,0.9118346442290104,1.0,0.8585890540968049,1.0,0.9601772795411588,1.0
,,0.9635880902711929,1.0,0.8950008359806052,1.0,0.9762091247307617,1.0
,,0.9502776375567895,1.0,0.8911895497498611,1.0,0.9634665941437767,1.0
,,0.8938243301332569,1.0,0.9320560212422554,1.0,0.9562644341801386,1.0
,,0.9740017163915392,1.0,0.8746018440905281,1.0,0.9642679406788096,1.0
,,0.9301689686601696,1.0,0.8256221813930182,1.0,0.9310092280650358,1.0
,,0.9678124212118665,1.0,0.9019011406844106,1.0,0.9650946323301272,1.0
,,0.9440030031908904,1.0,0.9100105692284464,1.0,0.9579003941239699,1.0
,,0.9544259421560035,1.0,0.9153391802398425,1.0,0.974012474012474,1.0
,,0.8919148936170213,1.0,0.9005695301376364,1.0,0.9583912519692336,1.0
,,0.8714831047645978,1.4142135623730951,0.9017273914936856,1.0,0.9527514499929268,1.0
,,0.9592815282746023,1.0,0.9193960511033682,1.0,0.9693297426690605,1.0
,,0.9631263319621352,1.0,0.8808397397989356,1.0,0.9627831715210357,1.0
,,0.9426739400899607,1.0,0.9133627019089574,1.0,0.9759008136381248,1.0
,,0.9328731492597039,1.0,0.9110688474705211,1.0,0.9820172747439467,1.0
,,0.9669211195928753,1.0,0.9123524069028156,1.0,0.9720806020878854,1.0
