_a,_b,0_a,0_b
,,0.967420551,1
,,0.965016956,2.236067977
,,0.946988971,3.605551275
,,0.963087109,1
,,0.945398563,1
,,0.970494418,1
,,0.927627237,2
,,0.962277072,1.414213562
,,0.905693598,1
,,0.972954271,1
,,0.952695875,1.525583282
