_a,_b,0_a,0_b
,,0.970602734,1
,,0.938275074,6.403124237
,,0.93067302,7
,,0.928702165,1.414213562
,,0.957191243,1
,,0.956101418,1
,,0.868240069,144.0267336
,,0.953038517,258.406269
,,0.917219523,1
,,0.967561816,1
,,0.938760558,42.22503404
