_a,_b,0_a,0_b,1_a,1_b,2_a,2_b,3_a,3_b,4_a,4_b
,,0.75999315,2,0.9046361,1,0.917529554,1,0.222698073,40.07492982,0,63.52873317
,,0.721105811,3,0.919124288,1,0.926095887,1,0.231987929,14.04100561,0.313494402,32.22106712
,,0.792596467,2,0.904099587,1.414213562,0.900042571,1,0.21763187,17.72004515,0.490982867,34.43254201
,,0.731964634,2,0.830575204,2.449489743,0.930449182,1,0.0483498,26.92582404,0.293770084,24.53568829
,,0.757173319,3.16227766,0.930723583,1,0.952119176,1,0.043367347,46.67976007,0.440389294,23.27766746
,,0.752566676,2.432455532,0.897831752,1.372740661,0.925247274,1,0.152807004,29.08831294,0.30772733,35.59913961
