_a,_b,0_a,0_b,1_a,1_b,2_a,2_b,3_a,3_b,4_a,4_b
,,0.579502871,5,0.845829428,2,0.815454469,8.306623863,0.075201432,34.13209633,0.053244006,56.43580424
,,0.465131627,6.08276253,0.731641573,6,0.747076485,5,0.047777973,24.87971061,0.392535393,5.744562647
,,0.62363733,4.582575695,0.834980608,2,0.736705379,5.385164807,0.00436324,44.71570287,0.421490196,33.30165161
,,0.602603987,3,0.814261512,2.828427125,0.837472289,3,0.165427704,24.91987159,0.140886288,29.01723626
,,0.596091861,4.582575695,0.724620633,4.277518164,0.842954476,3,0.124683773,46.04128305,0.190128505,29.62178134
,,0.573393535,4.649582784,0.790266751,3.421189058,0.79593262,4.938357734,0.083490824,34.93773289,0.239656877,30.82420722
