_a,_b,0_a,0_b,1_a,1_b,2_a,2_b,3_a,3_b,4_a,4_b
,,0.645171487,2.236067977,0.888523241,1,0.847289318,1,0.132791328,20.51828453,0,26.9647798
,,0.488782051,3.464101615,0.817881316,2.236067977,0.821534697,2.828427125,0.125412541,19.33261168,0.43697479,3.741657387
,,0.71887769,2.236067977,0.859168423,2,0.712398975,3.741657387,0.241721854,11.54313387,0.384473198,5.34736233
,,0.626617375,2.236067977,0.804939942,2,0.868761114,1,0.188021228,9.539392014,0.187140115,9.219544457
,,0.592228067,3,0.763586491,2.914213562,0.782129068,2,0.107723577,16.27574622,0.160383825,14.4013536
,,0.614335334,2.63446111,0.826819883,2.030056308,0.806422634,2.114016902,0.159134106,15.44183366,0.233794385,11.93493951
